id,key,filename,content_type,metadata,byte_size,checksum,created_at
583,tfia82wcfujjeael0g3aizr9ucup,dh-2ce__d8t-itme.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3844841,HH4RbFIATZIkedcQ4FzcwA==,2020-09-08 09:41:21.662815
584,r09d26tpryyfcx2kpx02hg9bjugw,dh-2ce__d8t-itme.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3844841,HH4RbFIATZIkedcQ4FzcwA==,2020-09-08 09:41:22.392564
585,abd5k355fk1pe481moai18rkcr7k,DS-2CE56H1T-ITM.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",11399,vP66j6OBDyR12ZK0UEj73w==,2020-09-08 09:42:44.955024
586,ox9bbssunt1ba6i6ir8db712hr70,DH-IPC-MBW4431P-AS-H.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",9152,eO4479RXp4/JuWkcRvy+IA==,2020-09-08 09:44:15.874437
587,e612ave73yvasof8p8npru0kaqff,dh-epc-mbw4431p-as-h-0___b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",3952436,JjmKkbsDHYlGyV3ab+POhw==,2020-09-08 09:44:30.416360
588,sl545bwy7ubv18x3z808r64ifo78,dh-epc-mbw4431p-as-h-0___b.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":24.958292,""display_aspect_ratio"":[16,9],""analyzed"":true}",3952436,JjmKkbsDHYlGyV3ab+POhw==,2020-09-08 09:44:30.585453
589,qhj1ofcft9t1gun5rvt7l6uvpqmo,dh-hac-hdw1200lp.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3908768,ntNya1lQvnBLqhu2Wo5erA==,2020-09-08 09:46:06.529757
590,8ibqxg7xibvj2dxp0dpwx3vrfe01,dh-hac-hdw1200lp.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",3908768,ntNya1lQvnBLqhu2Wo5erA==,2020-09-08 09:46:06.703310
591,kjhc1791jfb7roiqy8k8b9joz1jf,DH-HAC-HDW1200LP.jpg,image/jpeg,"{""identified"":true,""width"":352,""height"":301,""analyzed"":true}",7238,RgcDsFdmAnJGUoKAzgpviw==,2020-09-08 09:46:28.321445
593,sq5rmlx066yebclxr4yy7hbgtzmk,dh-hac-hdw1200rp-0360b-s3a.mp4,video/mp4,"{""identified"":true,""width"":1280.0,""height"":720.0,""duration"":25.425425,""display_aspect_ratio"":[16,9],""analyzed"":true}",4070657,oROuTtnWqMZWEnoBSRHlJQ==,2020-09-08 09:55:58.908790
