id,name,record_type,record_id,blob_id,created_at
112,attachment,Spree::Asset,107,112,2020-08-12 08:30:56.378785
113,attachment,Spree::Asset,108,113,2020-08-12 08:33:39.300259
114,attachment,Spree::Asset,109,114,2020-08-12 08:38:35.487640
115,attachment,Spree::Asset,110,115,2020-08-12 08:40:27.110237
116,attachment,Spree::Asset,111,116,2020-08-12 08:43:32.458946
117,attachment,Spree::Asset,112,117,2020-08-12 08:47:00.182466
118,attachment,Spree::Asset,113,118,2020-08-12 08:55:09.624366
119,attachment,Spree::Asset,114,119,2020-08-12 08:58:43.266200
120,attachment,Spree::Asset,115,120,2020-08-12 09:00:17.215366
121,attachment,Spree::Asset,116,121,2020-08-12 09:04:53.629400
122,attachment,Spree::Asset,117,122,2020-08-12 09:06:06.182019
123,attachment,Spree::Asset,118,123,2020-08-12 09:11:45.458733
124,attachment,Spree::Asset,119,124,2020-08-12 09:21:09.340685
125,attachment,Spree::Asset,120,125,2020-08-12 09:21:18.388321
126,attachment,Spree::Asset,121,126,2020-08-12 09:28:21.297486
127,attachment,Spree::Asset,122,127,2020-08-12 09:32:35.784872
128,attachment,Spree::Asset,123,128,2020-08-12 09:45:57.126858
129,attachment,Spree::Asset,124,129,2020-08-12 10:07:16.962524
130,attachment,Spree::Asset,125,130,2020-08-12 10:11:27.408148
131,attachment,Spree::Asset,126,131,2020-08-12 10:11:36.038936
132,attachment,Spree::Asset,127,132,2020-08-12 10:23:44.740267
133,attachment,Spree::Asset,128,133,2020-08-12 10:23:58.928683
134,attachment,Spree::Asset,129,134,2020-08-12 11:14:51.635477
135,attachment,Spree::Asset,130,135,2020-08-12 11:39:26.643570
137,video,Spree::Product,1714,137,2020-08-13 10:45:38.946155
139,video,Spree::Product,2252,139,2020-08-13 10:56:42.362026
141,video,Spree::Product,2254,141,2020-08-13 10:57:02.322379
143,video,Spree::Product,2257,143,2020-08-13 11:00:56.010068
145,video,Spree::Product,2260,145,2020-08-13 11:01:34.598712
147,video,Spree::Product,1243,147,2020-08-13 11:06:33.210226
149,video,Spree::Product,1238,149,2020-08-13 11:07:42.559885
151,video,Spree::Product,228,151,2020-08-13 11:13:36.414070
153,video,Spree::Product,2262,153,2020-08-13 11:14:08.227713
155,video,Spree::Product,1280,155,2020-08-13 11:19:29.806092
157,video,Spree::Product,42,157,2020-08-13 11:21:15.878225
158,attachment,Spree::Asset,131,158,2020-08-13 11:37:15.522255
160,video,Spree::Product,2371,160,2020-08-13 12:29:36.035258
162,video,Spree::Product,2372,162,2020-08-13 12:31:44.738204
164,video,Spree::Product,2373,164,2020-08-13 12:41:47.130951
166,video,Spree::Product,2374,166,2020-08-13 12:46:04.254062
168,video,Spree::Product,2375,168,2020-08-13 12:52:40.374097
170,video,Spree::Product,2376,170,2020-08-13 12:57:07.749838
172,video,Spree::Product,2377,172,2020-08-13 13:04:38.934351
174,video,Spree::Product,2378,174,2020-08-13 13:11:31.732496
176,video,Spree::Product,2379,176,2020-08-13 13:28:18.686757
178,video,Spree::Product,2380,178,2020-08-13 13:31:22.592629
180,video,Spree::Product,2381,180,2020-08-14 08:53:27.622283
181,attachment,Spree::Asset,132,181,2020-08-14 08:53:52.360277
182,attachment,Spree::Asset,133,182,2020-08-14 08:55:11.724150
184,video,Spree::Product,2382,184,2020-08-14 08:55:29.331235
188,attachment,Spree::Asset,135,188,2020-08-14 09:00:01.733832
190,video,Spree::Product,2384,190,2020-08-14 09:00:28.514321
191,attachment,Spree::Asset,136,191,2020-08-14 09:02:09.791068
193,video,Spree::Product,2385,193,2020-08-14 09:02:25.998824
194,attachment,Spree::Asset,137,194,2020-08-14 09:05:59.928156
196,video,Spree::Product,2386,196,2020-08-14 09:06:18.231004
